Size: Count
146863: 781
147143: 379
147211: 358
60332: 346
147054: 331
150488: 252
20551: 136
149626: 54
95407: 26
148669: 13
372: 11
370: 10
10383: 8
26280: 8
39341: 8
43957: 7
44531: 7
6014: 6
10469: 6
39304: 6
43871: 6
10341: 5
10453: 5
11033: 5
14527: 5
39337: 5
43696: 5
94241: 5
94830: 5
147768: 5
147992: 5
148417: 5
148767: 5
780: 4
1598: 4
6152: 4
26350: 4
26478: 4
43757: 4
146404: 4
146926: 4
150017: 4
842: 3
10275: 3
10337: 3
10443: 3
26334: 3
43824: 3
43869: 3
43875: 3
43883: 3
43885: 3
43897: 3
43899: 3
43903: 3
43947: 3
43953: 3
43961: 3
44529: 3
44533: 3
44535: 3
44583: 3
44587: 3
131915: 3
146891: 3
149905: 3
368: 2
1544: 2
1693: 2
10395: 2
10455: 2
10479: 2
16600: 2
21916: 2
26252: 2
30392: 2
43887: 2
43943: 2
43959: 2
43971: 2
44581: 2
95405: 2
146943: 2
148512: 2
508: 1
512: 1
554: 1
580: 1
588: 1
614: 1
622: 1
636: 1
666: 1
668: 1
728: 1
798: 1
828: 1
840: 1
876: 1
878: 1
888: 1
892: 1
904: 1
916: 1
920: 1
1602: 1
1667: 1
1678: 1
1707: 1
1773: 1
5052: 1
5110: 1
7804: 1
7864: 1
8684: 1
10421: 1
10515: 1
13815: 1
14355: 1
21956: 1
21958: 1
27048: 1
27130: 1
27138: 1
27258: 1
30740: 1
39300: 1
43578: 1
43873: 1
43901: 1
43915: 1
43945: 1
43965: 1
43973: 1
44543: 1
44547: 1
44585: 1
44599: 1
54090: 1
60208: 1
94243: 1
97697: 1
147223: 1
148400: 1
149634: 1
150270: 1
150386: 1
150496: 1
150568: 1
150850: 1
